区域,小区名称,小区地址,面积/平方米,总价/万,单价/每平米,修建年份
青羊,盛世年华,太升路-东珠市街66号,93,170,18180,2006年建造
青羊,双顺路4号院,府南新区-双顺路4号,64,88.8,13780,2002年建造
青羊,万和中心,万家湾-日月大道1501号,46,65,14130,2015年建造
青羊,航天佳苑,万家湾-培中路73号,186,303,16290,2009年建造
青羊,青羊万达广场,黄田坝-日月大道978号,38,56,14737,2015年建造
青羊,紫御熙庭,黄田坝-西货站路355号,179,268.5,15000,2014年建造
青羊,大地新光华广场小区,光华村-光华村街66号,46,48,10435,2007年建造
青羊,航天佳苑,万家湾-培中路73号,186,303,16290,2011年建造
青羊,凯丽美域,金沙-金祥路55号,89,220,24518,2009年建造
青羊,同仁居,少城-中同仁路168号,132,280,21212,2004年建造
青羊,中铁西城东区,万家湾-光华东三路398号,121,290,23819,2012年建造
青羊,紫御熙庭,黄田坝-西货站路355号,210,340,16190,2017年建造
青羊,正黄金域国际,八宝街-同心路1号,49,105,21046,2014年建造
青羊,万和中心,万家湾-日月大道1501号,42,62.9,14976,2018年建造
青羊,天合凯旋城,贝森-光华大道瑞联路66号,149,350,23355,2008年建造
青羊,东立光华杏林,万家湾-同辉南路256号,81,120,14747,2010年建造
青羊,优品道,贝森-青羊大道99号,161,420,25972,2009年建造
青羊,天合凯旋城,贝森-光华大道瑞联路66号,166,390,23397,2008年建造
青羊,万科金色领域(商住楼),万家湾-光华南三路88号,48,55,11458,2017年建造
青羊,交通局家属院,太升路-太升北路33号,53,80,14906,1990年建造
青羊,文和苑,太升路-东珠市街28号,114,135,11754,2000年建造
青羊,恒大翡翠华庭,"外光华-光华南三路,近成飞大道",88,165,18564,2015年建造
青羊,壹号公馆,文殊院-人民中路三段1号,40,85,21250,2018年建造
青羊,龙湖翠微清波A区,苏坡立交-金福路419号,112,256,22857,2010年建造
青羊,龙湖翠微清波A区,苏坡立交-金福路419号,126,255,20238,2008年建造
青羊,西府少城,青羊宫-小南街109号,89,230,25584,2012年建造
青羊,锦里西路123号院,青羊宫-锦里西路123号,52,72,13714,1996年建造
青羊,石室中学教师宿舍,浣花溪-科联街1号,103,195,18932,2001年建造
青羊,科联街5号院,浣花溪-科联街5号,103,195,18932,2003年建造
青羊,交通局家属院,太升路-太升北路33号,53,80,14906,1995年建造
青羊,峨眉电影制片厂宿舍,草堂-清江东路360号,59,64,10847,2018年建造
青羊,蓝光SOFA社区,万家湾-成飞大道南段238号,72,122,16937,2012年建造
青羊,三道街50号院,八宝街-三道街50号,126,210,16639,1993年建造
青羊,天盛壹中心,文殊院-北大街88号,48,75,15625,2008年建造
青羊,天邑花园,光华村-二环路西一段99号,93,171,18271,2008年建造
青羊,二十一世纪花园,贝森-苏坡东路27号,88,150,17045,2003年建造
青羊,中大君悦金沙4期,金沙-金祥路18号,84,248,29523,2010年建造
青羊,凯旋天际湾,贝森-东坡路339号,114,345,30263,2013年建造
青羊,绿洲华苑,金沙-蜀汉路530号,111,190,17117,2004年建造
青羊,清溪南街9号院,府南新区-清溪南街9号,49,66,13469,1999年建造
青羊,凯丽美域,金沙-金祥路55号,70,170,24286,2008年建造
青羊,凯丽美域,金沙-金祥路55号,89,225,25281,2008年建造
青羊,成都佳兆业广场,外光华-光华大道二段光润一路78号,67,114.7,16997,2015年建造
青羊,成都佳兆业广场,外光华-光华大道二段光润一路78号,63,125,19562,2015年建造
青羊,紫御熙庭,黄田坝-西货站路355号,89,149,16742,2016年建造
青羊,金阳伦敦西区,贝森-青羊大道29号,478,893,18682,2013年建造
青羊,紫御熙庭,黄田坝-西货站路355号,95,145,15263,2013年建造
青羊,二十一世纪花园世纪城,贝森-贝双街111号,133,215,16057,2003年建造
青羊,青羊万达广场,黄田坝-日月大道978号,1556,2100,13496,2014年建造
青羊,二十一世纪花园千禧园,贝森-贝森路111号,138,210,15128,2003年建造
青羊,天合凯旋城,贝森-光华大道瑞联路66号,150,345,22969,2008年建造
青羊,幸福里,外光华-福庆路83号,49,53,10816,2012年建造
青羊,元益花园,万家湾-光华大道一段866号,71,120,16901,2012年建造
青羊,紫御熙庭,黄田坝-西货站路355号,95,142,14947,2013年建造
青羊,荣盛花语城,万家湾-光华东一路75号,72,145,19967,2015年建造
青羊,中大君悦金沙7期君逸院,金沙-蜀辉路99号,88,240,27174,2015年建造
青羊,成都佳兆业广场,外光华-光华大道二段光润一路78号,66,109,16460,2012年建造
青羊,二十一世纪花园千禧园,贝森-贝森路111号,114,189,16579,2003年建造
青羊,东原时光道,外光华-光华大道东4路78号,80,152,18789,2015年建造
青羊,上城生活馆,贝森-东顺路191号,140,230,16382,2006年建造
青羊,大石东路7号院,青羊宫-大石东路7号,93,115,12313,1997年建造
青羊,凯德风尚,外光华-成飞大道南段199号,79,147,18533,2012年建造
青羊,颐和京都,万家湾-培风路276号,77,126.8,16446,2008年建造
青羊,槐树街32号院,八宝街-槐树街32号,84,140,16525,1999年建造
青羊,颐和京都,万家湾-培风路276号,76,120,15789,2013年建造
青羊,金林大城小室,府南新区-清江中路10号,77,130,16792,2008年建造
青羊,清溪雅筑,万家湾-培风路271号,92,119,12935,2012年建造
青羊,天合凯旋城,贝森-光华大道瑞联路66号,201,422,20932,2008年建造
青羊,西城尚锦,万家湾-光华东三路588号,78,160,20453,2015年建造
青羊,光华碧邻,外光华-光华西二路126号,92,138,14871,2010年建造
青羊,成都佳兆业广场,外光华-光华大道二段光润一路78号,52,71.5,13575,2016年建造
青羊,保利香槟光华,万家湾-光华东五路255号,54,94,17378,2014年建造
青羊,锦天国际,太升路-太升南路288号,88,140,15880,2010年建造
青羊,石马巷4号院,太升路-石马巷4号,77,98,12617,1995年建造
青羊,时代印象,太升路-北东街1号,55,78,13936,2005年建造
青羊,壹号公馆,文殊院-人民中路三段1号,39,48,12308,2018年建造
青羊,中大君悦金沙一二期,金沙-蜀辉路19号,86,182,21163,2008年建造
青羊,金沙揽胜,贝森-清江中路63号,80,139,17327,2007年建造
青羊,双玺,贝森-贝森路216号,87,199,22758,2011年建造
青羊,峨眉电影制片厂宿舍,草堂-清江东路360号,57,84,14737,2018年建造
青羊,锦绣光华,万家湾-中坝街29号,81,118,14452,2010年建造
青羊,幸福里,外光华-福庆路83号,49,53,10816,2010年建造
青羊,双玺,贝森-贝森路216号,79,165,20726,2011年建造
青羊,汇厦少城,青羊宫-文庙西街300号,97,230,23590,2014年建造
青羊,蓝光COCO金沙一期,苏坡立交-金辉路,53,99,18679,2014年建造
青羊,蓝光COCO金沙三期,苏坡立交-清涟路18号,70,130,18453,2016年建造
青羊,中大君悦金沙5期君郎院,金沙-蜀辉路8号,86,190,22093,2012年建造
青羊,荣盛花语城,万家湾-光华东一路75号,63,118,18692,2014年建造
青羊,光华逸家,万家湾-光华东三路401号,70,150,21271,2012年建造
青羊,金阳易诚国际,万家湾-培华路399号,70,110,15579,2011年建造
青羊,龙湖翠微清波A区,苏坡立交-金福路419号,138,290,21014,2008年建造
青羊,恒大翡翠华庭,"外光华-光华南三路,近成飞大道",88,165,18550,2015年建造
青羊,光华美邻,贝森-瑞星路89号,103,200,19417,2007年建造
青羊,光华馨地,光华村-青羊大道98号,82,128,15478,2009年建造
青羊,西府少城,青羊宫-小南街109号,89,230,25814,2011年建造
青羊,清溪雅筑,万家湾-培风路271号,79,99,12489,2012年建造
青羊,成都佳兆业广场,外光华-光华大道二段光润一路78号,69,100,14482,2015年建造
青羊,贝森兴园一期,贝森-贝双街2号,64,98,15194,2000年建造
青羊,大地新光华广场小区,光华村-光华村街66号,42,40,9412,2007年建造
青羊,青羊万达广场,黄田坝-日月大道978号,78,82,10513,2018年建造
青羊,中铁西子香荷,贝森-琼楼路99号,91,193,21209,2008年建造
青羊,峨眉电影制片厂宿舍,草堂-清江东路360号,35,35,10000,2011年建造
青羊,石人南路38号院,草堂-石人南路38号,80,87,10875,1998年建造
青羊,保利香槟光华,万家湾-光华东五路255号,56,100,17727,2012年建造
青羊,东立光华杏林,万家湾-同辉南路256号,86,125,14399,2009年建造
青羊,78号观邸,青羊宫-锦里西路78号,102,219,21397,2004年建造
青羊,清溪雅筑,万家湾-培风路271号,79,96,12111,2012年建造
青羊,金沙海棠,苏坡立交-蜀鑫东路88号,89,162,18060,2008年建造
青羊,四川省医药公司宿舍,青羊宫-包家巷82号,74,150,20232,1986年建造
青羊,紫御熙庭,黄田坝-西货站路355号,95,152,16000,2016年建造
青羊,光华碧邻,外光华-光华西二路126号,93,146,15699,2013年建造
青羊,成都佳兆业广场,外光华-光华大道二段光润一路78号,86,133,15301,2015年建造
青羊,凯德风尚,外光华-成飞大道南段199号,80,140,17391,2012年建造
青羊,青羊万达广场,黄田坝-日月大道978号,27,33,12222,2016年建造
青羊,金沙鹭岛一期,金沙-蜀风路228号,139,349.8,25113,2010年建造
青羊,紫御熙庭,黄田坝-西货站路355号,210,336,16000,2014年建造
青羊,蓝光COCO金沙一期,苏坡立交-金辉路,53,100,18868,2016年建造
青羊,凯德风尚,外光华-成飞大道南段199号,79,147,18537,2013年建造
青羊,青羊万达广场,黄田坝-日月大道978号,130,136,10462,2016年建造
青羊,金河路63号院,青羊宫-金河路63号,70,155,22143,1999年建造
青羊,蓝光SOFA社区,万家湾-成飞大道南段238号,73,122,16712,2011年建造
青羊,锦天国际,太升路-太升南路288号,87,150,17059,2010年建造
青羊,金地嘉年华城新城市花园一期,金沙-蜀辉路469号,104,202,19423,2010年建造
青羊,成都现代城,青羊宫-锦里西路119号,56,80,14286,2004年建造
青羊,水岸丽舍,太升路-大安东路3号,100,170,16890,2015年建造
青羊,金沙海棠,苏坡立交-蜀鑫东路88号,87,170,19440,2012年建造
青羊,金沙西园4期,金沙-金鹏街109号,89,199,22360,2010年建造
青羊,中海金沙府,金沙-蜀辉路318号,157,439,27871,2014年建造
青羊,文和苑,太升路-东珠市街28号,116,135,11638,2000年建造
青羊,荣盛花语城,万家湾-光华东一路75号,63,125,19744,2014年建造
青羊,锦天国际,太升路-太升南路288号,88,140,15814,2009年建造
青羊,双玺,贝森-贝森路216号,80,165,20393,2008年建造
青羊,保利金香槟,苏坡立交-蜀鑫东路51号,89,210,23527,2012年建造
青羊,紫御熙庭,黄田坝-西货站路355号,180,270,15000,2015年建造
青羊,东立光华杏林,万家湾-同辉南路256号,120,160,13278,2010年建造
青羊,时代凯悦,骡马市-人民中路二段70号,37,65,17520,2006年建造
青羊,成都现代城,青羊宫-锦里西路119号,45,72,15965,2004年建造
青羊,金阳伦敦西区,贝森-青羊大道29号,478,893,18659,2013年建造
青羊,光华碧邻,外光华-光华西二路126号,92,135,14579,2012年建造
青羊,凯丽美域,金沙-金祥路55号,70,170,24251,2009年建造
青羊,成都佳兆业广场,外光华-光华大道二段光润一路78号,87,132,15172,2000年建造
青羊,光华碧邻,外光华-光华西二路126号,93,146,15699,2014年建造
青羊,锦里西路123号院,青羊宫-锦里西路123号,52,72,13714,2000年建造
青羊,蓝光COCO蜜城,贝森-四威南路9号,67,120,17786,2014年建造
青羊,东立光华杏林,万家湾-同辉南路256号,120,145,12040,2010年建造
青羊,东立光华杏林,万家湾-同辉南路256号,120,160,13267,2012年建造
青羊,锦里西路127号院,青羊宫-锦里西路127号,139,260,18705,2000年建造
青羊,龙湖翠微清波B区,苏坡立交-金福路428号,129,260,20155,2008年建造
青羊,东立光华杏林,万家湾-同辉南路256号,81,120,14742,2009年建造
青羊,金阳易诚国际,万家湾-培华路399号,71,110,15493,2012年建造
青羊,龙景花园,浣花溪-百卉路21号,191,880,46073,2006年建造
青羊,光华园,府南新区-清江中路12号,159,205,12893,2006年建造
青羊,中铁西城东区,万家湾-光华东三路398号,91,175,19222,2011年建造
青羊,峨眉电影制片厂宿舍,草堂-清江东路360号,288,360,12500,2018年建造
青羊,十二桥路14号院,青羊宫-十二桥路14号,50,130,26000,2015年建造
青羊,中大君悦金沙5期君郎院,金沙-蜀辉路8号,83,218,26265,2012年建造
青羊,光华锦苑,外光华-光华北六路216号,96,240,24752,2013年建造
青羊,凯德风尚,外光华-成飞大道南段199号,92,160,17286,2015年建造
青羊,金沙柏林郡,苏坡立交-清波路75号,112,198,17573,2016年建造
青羊,心灵家园,万家湾-培华路312号,89,149,16742,2013年建造
青羊,清溪雅筑,万家湾-培风路271号,79,99,12489,2011年建造
青羊,海亮樾金沙,苏坡立交-蜀鑫路8号,79,135,17089,2015年建造
青羊,西马棚街38号院,八宝街-西马棚街38号,85,150,17616,2000年建造
青羊,中大君悦金沙花园3期,金沙-金祥路15号,86,200,23256,2009年建造
青羊,玉沙路143号院,太升路-玉沙路143号,65,88.8,13645,1996年建造
青羊,清溪南街13号院,府南新区-清溪南街13号,49,65,13265,1998年建造
青羊,青羊万达广场,黄田坝-日月大道978号,37,58,15676,2015年建造
青羊,时代天骄大厦,太升路-太升北路64号,65,85,12914,2003年建造
青羊,中大君悦金沙一二期,金沙-蜀辉路19号,91,236,25889,2010年建造
青羊,金地嘉年华城新城市花园一期,金沙-蜀辉路469号,104,198,19038,2008年建造
青羊,童子街庭苑,太升路-童子街29号,139,288,20712,2008年建造
青羊,融城云熙,骡马市-顺城大街316号,85,120,14022,2010年建造
青羊,长虹和悦府,万家湾-光华北一路527号,126,260,20534,2014年建造
青羊,凯丽美域,金沙-金祥路55号,75,190,25333,2010年建造
青羊,听城,金沙-蜀源路8号,85,175,20588,2010年建造
青羊,时代天骄大厦,太升路-太升北路64号,58,74,12745,2002年建造
青羊,东珠美地,太升路-东马道街19号,92,225,24324,2003年建造
青羊,正通顺街81号院,太升路-正通顺街81号,92,118,12826,1996年建造
青羊,中海金沙府,金沙-蜀辉路318号,157,430,27389,2013年建造
青羊,金沙鹭岛四期,金沙-金阳路,89,235,26325,2015年建造
青羊,凯德风尚,外光华-成飞大道南段199号,92,167,18044,2012年建造
青羊,福华新起点,人民公园-小南街128号,97,176,17974,2004年建造
青羊,金沙鹭岛一期,金沙-蜀风路228号,141,349,24752,2010年建造
青羊,中大君悦金沙5期君郎院,金沙-蜀辉路8号,77,194,24891,2012年建造
青羊,海亮爱金沙,苏坡立交-清源二路151号,60,125,20833,2016年建造
青羊,西岭路1号院,草堂-西岭路1号,82,125,15244,1999年建造
青羊,金沙愉景一期,苏坡立交-清波路390号,110,212,19273,2009年建造
青羊,西马棚街38号院,八宝街-西马棚街38号,46,88,18982,1995年建造
青羊,自由城,太升路-铜丝街7号,81,127,15679,2004年建造
青羊,中铁西城西区,万家湾-光华东三路486号,92,255,27717,2014年建造
青羊,水岸丽舍,太升路-大安东路3号,100,169,16791,2013年建造
青羊,凯德风尚,外光华-成飞大道南段199号,94,185,19641,2013年建造
青羊,SHINE星立方,外光华-光华南三路89号,86,127,14761,2014年建造
青羊,青羊万达广场,黄田坝-日月大道978号,30,45,15000,2018年建造
青羊,小南街公寓,青羊宫-小南街21号,109,220,20110,1992年建造
青羊,中铁西城东区,万家湾-光华东三路398号,121,290,23868,2012年建造
青羊,万和中心,万家湾-日月大道1501号,42,62.9,14976,2015年建造
青羊,金沙鹭岛一期,金沙-蜀风路228号,212,620,29245,2010年建造
青羊,长虹和悦府,万家湾-光华北一路527号,128,260,20313,2015年建造
青羊,成都现代城,青羊宫-锦里西路119号,53,90,16772,2004年建造
青羊,太行瑞宏朗诗金沙城(商住楼),"苏坡立交-西三环路,近黄苑路",54,85,15741,2018年建造
青羊,峨眉电影制片厂宿舍,草堂-清江东路360号,218,250,11468,2016年建造
青羊,中铁西子香荷,贝森-琼楼路99号,91,195,21429,2008年建造
青羊,石人南路15号院,草堂-石人南路15号,176,200,11364,1995年建造
青羊,恒大翡翠华庭,"外光华-光华南三路,近成飞大道",88,165,18606,2015年建造
青羊,东立光华杏林,万家湾-同辉南路256号,50,65,13000,2010年建造
青羊,春天花园,浣花溪-百卉路12号,341,698,20469,2000年建造
青羊,橙花风景,贝森-玉宇路998号,82,138,16788,2010年建造
青羊,鼓楼南街51号院,天府广场-鼓楼南街51号,45,75,16575,2000年建造
青羊,二十一世纪花园,贝森-苏坡东路27号,54,115,21296,2003年建造
青羊,博瑞都市花园,贝森-青羊大道101号,99,205,20595,2004年建造
青羊,西财骏苑,光华村-二环路西二段45号,52,62,11923,2004年建造
青羊,金沙西园二期北区,金沙-金阳路121号,39,56,14141,2010年建造
青羊,东原时光道,外光华-光华大道东4路78号,82,150,18166,2016年建造
青羊,凯丽美域,金沙-金祥路55号,70,170,24286,2012年建造
青羊,金阳易诚国际,万家湾-培华路399号,70,125,17781,2012年建造
青羊,消防武警宿舍,草堂-鸣翠路1号,154,330,21429,2002年建造
青羊,双玺,贝森-贝森路216号,80,160,19778,2008年建造
青羊,光华碧邻,外光华-光华西二路126号,92,173,18630,2012年建造
青羊,文苑路70号院,草堂-文苑路70号,40,55,13750,1999年建造
青羊,自由城,太升路-铜丝街7号,80,127,15843,2005年建造
青羊,金阳易诚国际,万家湾-培华路399号,76,125,16276,2010年建造
青羊,燕沙庭院,金沙-金泽路28号,87,280,32184,2005年建造
青羊,锦天国际,太升路-太升南路288号,79,160,20101,2008年建造
青羊,中大君悦金沙5期君郎院,金沙-蜀辉路8号,78,195,25000,2012年建造
青羊,金沙鹭岛一期,金沙-蜀风路228号,141,350,24823,2011年建造
青羊,狮马路小区,太升路-狮马路70号,77,120,15420,1996年建造
青羊,时代天骄大厦,太升路-太升北路64号,65,85,12914,2005年建造
青羊,狮马路小区,太升路-狮马路70号,57,71,12456,1998年建造
青羊,东珠美地,太升路-东马道街19号,86,158,18167,2002年建造
青羊,海亮爱金沙,苏坡立交-清源二路151号,80,138,17100,2016年建造
青羊,新城市广场,八宝街-西大街1号,37,50,13514,2018年建造
青羊,燕沙庭院,金沙-金泽路28号,150,335,22333,2006年建造
青羊,百草园,府南新区-双清南路6号,90,130,14412,2003年建造
青羊,花样年华6新街坊一期,八宝街-观音阁前街62号,67,165,24318,2009年建造
青羊,优品道,贝森-青羊大道99号,88,220,24887,2010年建造
青羊,中铁西子香荷,贝森-琼楼路99号,81,190,23457,2010年建造
青羊,峨眉电影制片厂宿舍,草堂-清江东路360号,288,365,12674,2017年建造
青羊,雍锦湾,金沙-金泽路118号,247,700,28271,2007年建造
青羊,青羊万达广场,黄田坝-日月大道978号,45,60,13333,2015年建造
青羊,雍锦湾,金沙-金泽路118号,229,718,31354,2006年建造
青羊,金悦湾,苏坡立交-清波路77号,210,610,28914,2014年建造
青羊,大地新光华广场小区,光华村-光华村街66号,56,64,11429,2006年建造
青羊,东原时光道,外光华-光华大道东4路78号,88,170,19292,2017年建造
青羊,金沙云庭,金沙-金阳路152号,80,227,28375,2010年建造
青羊,中大君悦金沙5期君郎院,金沙-蜀辉路8号,82,205,24921,2010年建造
青羊,锦天国际,太升路-太升南路288号,79,160,20085,2008年建造
青羊,童子街庭苑,太升路-童子街29号,139,330,23732,2010年建造
青羊,鼓楼世家,天府广场-鼓楼洞街2号,91,165,17964,2008年建造
青羊,长虹和悦府,万家湾-光华北一路527号,88,175,19796,2015年建造
青羊,金沙愉景二期,苏坡立交-清波路385号,135,240,17778,2011年建造
青羊,东二道街74号院,八宝街-东二道街74号,59,103,17314,1996年建造
青羊,通锦桥路65院,文殊院-通锦桥路65号,116,215,18534,1996年建造
青羊,中铁西城东区,万家湾-光华东三路398号,136,335,24614,2012年建造
青羊,光华逸家,万家湾-光华东三路401号,74,156,21081,2014年建造
青羊,心灵家园,万家湾-培华路312号,112,228,20267,2013年建造
青羊,成都花园,光华村-青羊大道8号,91,185,20236,2003年建造
青羊,蓝光COCO金沙二期,苏坡立交-清百路,72,130,17931,2015年建造
青羊,凤栖桐,八宝街-饮马河街7号,73,170,23060,2011年建造
青羊,大地新光华广场小区,光华村-光华村街66号,82,73,8827,2007年建造
青羊,成都佳兆业广场,外光华-光华大道二段光润一路78号,87,132,15172,2015年建造
青羊,战旗东路6号院,府南新区-战旗东路6号,83,105,12635,2000年建造
青羊,香格里拉花园,贝森-清江中路65号,106,195,18358,2002年建造
青羊,峨眉电影制片厂宿舍,草堂-清江东路360号,39,39,10000,2017年建造
青羊,中大君悦金沙一二期,金沙-蜀辉路19号,86,182,20992,2010年建造
青羊,楞伽庵街小区,文殊院-楞伽庵街37号,53,76,14313,1999年建造
青羊,中铁西城东区,万家湾-光华东三路398号,106,239,22452,2012年建造
青羊,金沙愉景一期,苏坡立交-清波路390号,128,230,17969,2007年建造
青羊,香格里拉花园,贝森-清江中路65号,48,105,21685,2002年建造
青羊,长城园,青羊宫-小南街69号,85,179,20982,2001年建造
青羊,大地新光华广场小区,光华村-光华村街66号,42,38,8941,2008年建造
青羊,金地嘉年华城新城市花园一期,金沙-蜀辉路469号,105,192,18286,2010年建造
青羊,保利香槟光华,万家湾-光华东五路255号,89,185,20745,2014年建造
青羊,缤纷假日,太升路-白丝街2号,56,75,13393,2008年建造
青羊,荣盛花语城,万家湾-光华东一路75号,45,80,17778,2014年建造
青羊,文武路77号院,文殊院-文武路77号,83,120,14458,1995年建造
青羊,大地新光华广场小区,光华村-光华村街66号,70,62,8857,2007年建造
青羊,英伦金沙,苏坡立交-滨河路99号,37,68,18309,2014年建造
青羊,四道街15号院,八宝街-四道街15号,81,150,18491,1996年建造
青羊,东立光华杏林,万家湾-同辉南路256号,86,137,15930,2012年建造
青羊,蓝光SOFA社区,万家湾-成飞大道南段238号,49,94,19059,2011年建造
青羊,清溪雅筑,万家湾-培风路271号,87,128,14552,2013年建造
青羊,东原时光道,外光华-光华大道东4路78号,89,205,22803,2015年建造
青羊,成都佳兆业广场,外光华-光华大道二段光润一路78号,87,145,16667,2016年建造
青羊,东立光华杏林,万家湾-同辉南路256号,86,125,14399,2010年建造
青羊,西城尚锦,万家湾-光华东三路588号,96,240,24982,2015年建造
青羊,攀钢苑,府南新区-清溪南街14号,95,135,14164,2000年建造
青羊,保利香槟光华,万家湾-光华东五路255号,88,185,20923,2014年建造
青羊,恒大翡翠华庭,"外光华-光华南三路,近成飞大道",88,165,18602,2017年建造
青羊,清水路苑,苏坡立交-武青北路312号,89,125,14010,2012年建造
青羊,公元西,金沙-金沙遗址路68号,87,239,27471,2012年建造
青羊,槐树街32号院,八宝街-槐树街32号,96,175,18107,1998年建造
青羊,东立光华杏林,万家湾-同辉南路256号,86,125,14535,2010年建造
青羊,攀钢苑,府南新区-清溪南街14号,95,130,13640,1998年建造
青羊,清溪雅筑,万家湾-培风路271号,87,128,14552,2012年建造
青羊,西岭路1号院,草堂-西岭路1号,81,120,14656,1998年建造
青羊,东立光华杏林,万家湾-同辉南路256号,86,125,14401,2009年建造
青羊,凯丽美域,金沙-金祥路55号,89,220,24521,2012年建造
青羊,清溪东路2号院,草堂-清溪东路2号,84,118,13964,1995年建造
青羊,清溪雅筑,万家湾-培风路271号,90,125,13870,2000年建造
青羊,保利金香槟,苏坡立交-蜀鑫东路51号,92,310,33550,2012年建造
青羊,双玺,贝森-贝森路216号,87,199,22769,2011年建造
青羊,保利金香槟,苏坡立交-蜀鑫东路51号,92,315,34239,2013年建造
青羊,槐树街32号院,八宝街-槐树街32号,96,175,18107,1995年建造
青羊,中大君悦金沙5期君郎院,金沙-蜀辉路8号,87,210,24055,2012年建造
青羊,成都佳兆业广场,外光华-光华大道二段光润一路78号,86,146,16797,2016年建造
青羊,西岭路1号院,草堂-西岭路1号,82,126.8,15463,1997年建造
青羊,成都佳兆业广场,外光华-光华大道二段光润一路78号,86,145,16686,2015年建造
青羊,中大君悦金沙5期君郎院,金沙-蜀辉路8号,87,210,23902,2012年建造
青羊,清溪雅筑,万家湾-培风路271号,90,122,13525,2012年建造
青羊,金沙西园4期,金沙-金鹏街109号,88,246,27955,2010年建造
青羊,金沙西园4期,金沙-金鹏街109号,89,226,25302,2009年建造
青羊,保利金香槟,苏坡立交-蜀鑫东路51号,93,315,33528,2012年建造
青羊,嘉逸花园,府南新区-双清南路1号,98,182,18571,2005年建造
青羊,明信世纪金沙,金沙-蜀辉路235号,99,198,19942,2010年建造
青羊,清溪东路2号院,草堂-清溪东路2号,83,119,14234,1997年建造
青羊,成都佳兆业广场,外光华-光华大道二段光润一路78号,86,155,17837,2015年建造
青羊,二十一世纪花园千禧园,贝森-贝森路111号,94,135,14334,2003年建造
青羊,保利金香槟,苏坡立交-蜀鑫东路51号,93,300,32079,2014年建造
青羊,西岭路1号院,草堂-西岭路1号,82,130,15854,1998年建造
青羊,西岭路1号院,草堂-西岭路1号,81,129.8,15852,1999年建造
青羊,保利香槟光华,万家湾-光华东五路255号,88,185,20928,2014年建造
青羊,清溪雅筑,万家湾-培风路271号,90,122.8,13644,2012年建造
青羊,攀钢苑,府南新区-清溪南街14号,95,130,13684,1997年建造
青羊,蓝光SOFA社区,万家湾-成飞大道南段238号,98,205,20833,2014年建造
青羊,长虹和悦府,万家湾-光华北一路527号,89,185,20624,2012年建造
青羊,长虹和悦府,万家湾-光华北一路527号,89,198,22247,2014年建造
青羊,光华逸家,万家湾-光华东三路401号,90,195,21523,2014年建造
青羊,光华馨地,光华村-青羊大道98号,95,155,16163,2006年建造
青羊,东立光华杏林,万家湾-同辉南路256号,81,130,16010,2010年建造
青羊,清溪雅筑,万家湾-培风路271号,88,128,14545,2011年建造
青羊,西岭路1号院,草堂-西岭路1号,90,124.8,13867,1999年建造
青羊,海亮樾金沙,苏坡立交-蜀鑫路8号,88,205,23295,2016年建造
青羊,包家巷16号院,青羊宫-包家巷16号,47,108,22689,1995年建造
青羊,青羊万达广场,黄田坝-日月大道978号,26,27.5,10577,2016年建造
青羊,鼓楼世家,天府广场-鼓楼洞街2号,91,167,18182,2009年建造
青羊,万科金色领域,万家湾-光华南三路88号,82,145,17683,2013年建造
青羊,锦天国际,太升路-太升南路288号,88,140,15766,2009年建造
青羊,中铁西城东区,万家湾-光华东三路398号,92,176,19130,2013年建造
青羊,听城,金沙-蜀源路8号,85,175,20588,2009年建造
青羊,盛世年华,太升路-东珠市街66号,42,75,17714,2006年建造
青羊,建发金沙里,金沙-蜀辉路588号,197,605,30616,2013年建造
青羊,金色夏威夷,八宝街-西二道街18号,37,82,21728,2003年建造
青羊,大地新光华广场小区,光华村-光华村街66号,42,44,10353,2006年建造
青羊,大石东路7号院,青羊宫-大石东路7号,93,114.5,12259,1998年建造
青羊,学府春,光华村-光华村街58号,133,179,13374,2005年建造
青羊,锦青苑,府南新区-同德街2号,111,135,12088,2001年建造
青羊,龙景花园,浣花溪-百卉路21号,171,450,26316,2005年建造
青羊,海亮爱金沙,苏坡立交-清源二路151号,65,117,17931,2016年建造
青羊,浪琴湾,贝森-瑞南街33号,46,100,21739,2006年建造
青羊,浣花北路26号院,草堂-浣花北路26号,77,120,15546,1992年建造
青羊,中大君悦金沙5期君郎院,金沙-蜀辉路8号,87,190,21714,2012年建造
青羊,蓝光COCO金沙二期,苏坡立交-清百路,73,130,17808,2015年建造
青羊,大地新光华广场小区,光华村-光华村街66号,47,47,10000,2007年建造
青羊,东原时光道,外光华-光华大道东4路78号,80,150,18546,2016年建造
青羊,青羊万达广场,黄田坝-日月大道978号,56,60,10672,2015年建造
青羊,童子街庭苑,太升路-童子街29号,134,305,22724,2006年建造
青羊,左右综合楼,贝森-东坡北二路169号,32,38,11621,2008年建造
青羊,光华馨地,光华村-青羊大道98号,83,130,15663,2008年建造
青羊,金沙鹭岛一期,金沙-蜀风路228号,140,350,24856,2010年建造
青羊,童子街庭苑,太升路-童子街29号,152,355,23322,2004年建造
青羊,鼓楼世家,天府广场-鼓楼洞街2号,91,165,18122,2008年建造
青羊,馨光嘉苑,黄田坝-瑞联东路,92,100,10870,2017年建造
青羊,百花芳邻,青羊宫-芳邻路1号,152,280,18328,1999年建造
青羊,中海金沙府,金沙-蜀辉路318号,134,395,29436,2014年建造
青羊,中铁西城东区,万家湾-光华东三路398号,89,245,27283,2013年建造
